team_name,n_passes,mean_tiv,total_tiv,mean_lbs,mean_sgm,mean_sdi,final_third_prob,box_entry_prob,shot_prob,goal_prob,circulatory,destabilising,line_breaking,space_expanding,dominant_pass_type
Germany,1239,0.09606461637856202,119.02405969303834,0.2033898305084746,2.0136860319616434,27.525878645278453,0.10734463276836158,0.02824858757062147,0.08716707021791767,0.009685230024213076,0.2598870056497175,0.34382566585956414,0.22276029055690072,0.1735270379338176,destabilising
Portugal,1907,0.06117687072840632,116.66429247907085,0.07970634504457262,1.6928847329062564,25.686977228488345,0.09281594126900891,0.024121657052962767,0.04509701101206083,0.0057682223387519665,0.2669113791295228,0.356581017304667,0.19087572102779235,0.18563188253801782,destabilising
United States,1357,0.07318745338380976,99.31537424182984,0.2247605011053795,1.6278704117185274,25.702076305017762,0.07295504789977893,0.029476787030213707,0.040530582166543844,0.007369196757553427,0.2800294767870302,0.37067059690493737,0.20707442888725128,0.14222549742078114,destabilising
Switzerland,1190,0.03918061774573453,46.624935117424094,0.27647058823529413,1.6638048339660851,23.341887061573722,0.08067226890756303,0.015966386554621848,0.02773109243697479,0.0033613445378151263,0.3277310924369748,0.31176470588235294,0.1949579831932773,0.16554621848739495,circulatory
Costa Rica,596,0.06392117729256641,38.09702166636958,0.030201342281879196,1.5511634805375396,24.880032569783396,0.018456375838926176,0.003355704697986577,0.013422818791946308,0.0016778523489932886,0.2600671140939597,0.37919463087248323,0.2214765100671141,0.13926174496644295,destabilising
Serbia,792,0.047023467695444965,37.24258641479241,0.22601010101010102,1.7942496865982676,24.410165816460044,0.08838383838383838,0.015151515151515152,0.04419191919191919,0.003787878787878788,0.2702020202020202,0.31691919191919193,0.2297979797979798,0.1830808080808081,destabilising
Cameroon,667,0.05582103974483114,37.23263350980237,0.09145427286356822,1.9770447484724472,22.952238919108623,0.10794602698650675,0.053973013493253376,0.044977511244377814,0.008995502248875561,0.27586206896551724,0.30434782608695654,0.2158920539730135,0.20389805097451275,destabilising
South Korea,1212,0.025458926513609724,30.856218934494986,0.1608910891089109,1.7754482548799233,23.01506987061206,0.08003300330033003,0.034653465346534656,0.0462046204620462,0.0033003300330033004,0.31765676567656764,0.3201320132013201,0.17986798679867988,0.18234323432343233,destabilising
Australia,872,0.03114828666430578,27.16130597127464,0.19610091743119265,1.6585242067556267,25.083223589658047,0.06192660550458716,0.017201834862385322,0.03211009174311927,0.006880733944954129,0.3669724770642202,0.31995412844036697,0.17087155963302753,0.14220183486238533,circulatory
Belgium,1221,0.021230311186410385,25.92220995860708,0.14086814086814087,1.5830488388066257,24.92204073576056,0.07043407043407043,0.031122031122031123,0.029484029484029485,0.001638001638001638,0.3284193284193284,0.34807534807534807,0.16953316953316952,0.15397215397215397,destabilising
Brazil,2063,0.009367289726811188,19.32471870641148,0.3029568589432865,1.4984597979414862,25.01950879608249,0.06737760542898691,0.029083858458555503,0.057682985942801746,0.005332040717401842,0.3456131846825012,0.3281628696073679,0.1943771206980126,0.13184682501211828,circulatory
Netherlands,1799,0.00636765464587809,11.455410707934684,0.2562534741523068,1.564784350154708,24.32534069230381,0.08893829905503058,0.03668704836020011,0.03168426903835464,0.010005558643690939,0.37687604224569204,0.29405225125069484,0.17676486937187327,0.15230683713173984,circulatory
England,2133,0.004986322435442899,10.635825754799704,0.14345991561181434,1.6942410570736228,21.792111051108844,0.055789967182372245,0.02203469292076887,0.031411157993436474,0.008438818565400843,0.3263009845288326,0.31879981247069855,0.16643225503984999,0.18846694796061886,circulatory
Mexico,807,0.00537166293582032,4.334931989206998,0.22924411400247832,1.7552258712874607,21.983757048101833,0.04460966542750929,0.01982651796778191,0.042131350681536554,0.0024783147459727386,0.36059479553903345,0.3184634448574969,0.1449814126394052,0.17596034696406443,circulatory
Tunisia,712,0.002666098555269913,1.8982621713521781,0.22612359550561797,1.6992897662920468,21.45581138719356,0.0898876404494382,0.026685393258426966,0.047752808988764044,0.004213483146067416,0.3609550561797753,0.3160112359550562,0.1446629213483146,0.17837078651685392,circulatory
Senegal,965,0.0015324679390082121,1.4788315611429248,0.22694300518134716,1.7373294026076398,21.23578793160622,0.06321243523316063,0.008290155440414507,0.05595854922279793,0.004145077720207254,0.30569948186528495,0.2922279792746114,0.21968911917098446,0.18238341968911917,circulatory
Wales,713,-0.0033573819507196267,-2.393813330863094,0.2608695652173913,1.6167053178968969,21.996795851714907,0.051893408134642355,0.04488078541374474,0.037868162692847124,0.0,0.37868162692847124,0.29873772791023845,0.1767180925666199,0.1458625525946704,circulatory
Canada,929,-0.006235807033844679,-5.793064734441707,0.29278794402583425,1.6188412001308254,22.0429157043742,0.05059203444564048,0.023681377825618945,0.04198062432723358,0.002152852529601722,0.395048439181916,0.27341227125941875,0.18514531754574812,0.14639397201291712,circulatory
Morocco,1667,-0.0046266034693266565,-7.712547983367536,0.11037792441511697,1.7330333252105472,21.943929358128376,0.09538092381523695,0.029994001199760048,0.041991601679664065,0.002999400119976005,0.3065386922615477,0.3095380923815237,0.19916016796640673,0.1847630473905219,destabilising
Saudi Arabia,554,-0.0143312671738711,-7.93952201432459,0.34657039711191334,1.5259897716885007,20.376074035280595,0.1263537906137184,0.019855595667870037,0.052346570397111915,0.010830324909747292,0.35018050541516244,0.29783393501805056,0.2184115523465704,0.13357400722021662,circulatory
Poland,831,-0.014688231223765958,-12.205920146949511,0.05054151624548736,1.563154172442187,21.87417427589978,0.06257521058965103,0.024067388688327317,0.044524669073405534,0.0024067388688327317,0.33212996389891697,0.3309265944645006,0.17689530685920576,0.16004813477737664,circulatory
Croatia,2804,-0.004608488485790842,-12.92220171415752,0.1326676176890157,1.7531240670066472,22.49253073566982,0.07738944365192582,0.012838801711840228,0.03316690442225392,0.005706134094151213,0.33202567760342366,0.3127674750356633,0.17617689015691868,0.17902995720399428,circulatory
Ghana,629,-0.04406394467552738,-27.71622120090672,0.10969793322734499,1.531219146377964,18.46352698439081,0.07472178060413355,0.01589825119236884,0.046104928457869634,0.00794912559618442,0.3640699523052464,0.302066772655008,0.17329093799682035,0.16057233704292528,circulatory
Denmark,1250,-0.02263860321740842,-28.298254021760528,0.172,1.6394658906522317,21.743055700327268,0.0832,0.02,0.0344,0.0008,0.3848,0.292,0.1664,0.1568,circulatory
Argentina,2715,-0.011902437932812433,-32.315118987585755,0.19815837937384898,1.558472551978256,22.132207330654612,0.06998158379373849,0.013996316758747698,0.04751381215469613,0.008103130755064457,0.3705340699815838,0.312707182320442,0.1723756906077348,0.1443830570902394,circulatory
Ecuador,889,-0.039509287403452435,-35.12375650166921,0.2283464566929134,1.487813883298835,20.35127317849473,0.05399325084364454,0.03487064116985377,0.025871766029246346,0.0022497187851518562,0.42857142857142855,0.28346456692913385,0.16422947131608548,0.12373453318335208,circulatory
Iran,559,-0.08744482258456782,-48.88165582477341,0.12880143112701253,1.7904046300653564,17.83721294934135,0.057245080500894455,0.01967799642218247,0.07513416815742398,0.014311270125223614,0.4329159212880143,0.24329159212880144,0.13953488372093023,0.18425760286225404,circulatory
Japan,1028,-0.0650767142436505,-66.89886224247272,0.21498054474708173,1.4683338012399463,19.370677854719368,0.11575875486381323,0.01556420233463035,0.04085603112840467,0.007782101167315175,0.4357976653696498,0.2830739299610895,0.14494163424124515,0.13618677042801555,circulatory
France,2455,-0.02821543236721774,-69.26888646151956,0.2134419551934827,1.5401395056866363,21.058470936548787,0.06313645621181263,0.015071283095723014,0.053767820773930754,0.010590631364562118,0.3515274949083503,0.29938900203665986,0.20244399185336048,0.14663951120162932,circulatory
Uruguay,846,-0.0972194795450845,-82.24767969514149,0.16430260047281323,1.627639067232399,15.694511840425534,0.05319148936170213,0.016548463356973995,0.06264775413711583,0.00591016548463357,0.4326241134751773,0.28250591016548465,0.1595744680851064,0.12529550827423167,circulatory
Spain,2920,-0.030695350209864844,-89.63042261280535,0.14520547945205478,1.597898038296128,20.794657450264634,0.09863013698630137,0.020205479452054795,0.0386986301369863,0.006506849315068493,0.36712328767123287,0.30924657534246575,0.16986301369863013,0.15376712328767123,circulatory
Qatar,757,-0.12935362140662196,-97.92069140481281,-0.003963011889035667,1.6391362901380258,15.636326705536208,0.043593130779392336,0.005284015852047556,0.026420079260237782,0.001321003963011889,0.4187582562747688,0.22985468956406868,0.18229854689564068,0.1690885072655218,circulatory
